timestamp,open,high,low,close,volume
1763028000000,3486.43000000,3516.59000000,3486.43000000,3506.01000000,16398.53970000
1763031600000,3506.02000000,3518.26000000,3495.41000000,3501.95000000,15264.49920000
1763035200000,3501.94000000,3511.31000000,3481.42000000,3501.15000000,25589.59890000
1763038800000,3501.14000000,3501.99000000,3426.43000000,3438.18000000,45077.33100000
1763042400000,3438.18000000,3478.54000000,3393.55000000,3443.62000000,60496.41700000
1763046000000,3443.63000000,3447.75000000,3367.03000000,3386.85000000,56368.49110000
1763049600000,3386.84000000,3398.24000000,3323.58000000,3327.59000000,87894.26890000
1763053200000,3327.58000000,3328.98000000,3253.02000000,3255.50000000,108750.13480000
1763056800000,3255.49000000,3264.59000000,3184.08000000,3213.72000000,67407.67010000
1763060400000,3213.73000000,3239.55000000,3175.83000000,3197.69000000,48750.96950000
1763064000000,3197.69000000,3206.37000000,3154.22000000,3171.65000000,53578.93990000
1763067600000,3171.65000000,3193.78000000,3159.97000000,3179.74000000,24395.84250000
1763071200000,3179.73000000,3236.70000000,3175.00000000,3228.87000000,30278.52150000
1763074800000,3228.87000000,3272.30000000,3216.52000000,3231.54000000,31946.70880000
1763078400000,3231.55000000,3240.64000000,3188.06000000,3200.93000000,32076.58610000
1763082000000,3200.93000000,3221.50000000,3186.20000000,3207.13000000,32395.57820000
1763085600000,3207.14000000,3251.88000000,3205.20000000,3238.05000000,36165.44670000
1763089200000,3238.05000000,3239.93000000,3208.00000000,3227.93000000,22353.91120000
1763092800000,3227.94000000,3228.26000000,3104.66000000,3163.06000000,55785.66290000
1763096400000,3163.06000000,3205.52000000,3157.31000000,3192.63000000,42261.08030000
1763100000000,3192.63000000,3225.91000000,3134.10000000,3222.42000000,59596.41550000
1763103600000,3222.42000000,3241.32000000,3194.05000000,3215.59000000,54917.49530000
1763107200000,3215.60000000,3219.39000000,3182.82000000,3205.20000000,24231.32660000
1763110800000,3205.20000000,3215.55000000,3150.87000000,3156.43000000,26010.99730000
1763114400000,3156.44000000,3196.69000000,3154.28000000,3176.20000000,16678.95240000
1763118000000,3176.19000000,3183.23000000,3116.82000000,3144.35000000,35323.31320000
1763121600000,3144.34000000,3144.34000000,3070.00000000,3126.42000000,79373.51570000
1763125200000,3126.43000000,3149.96000000,3073.33000000,3121.74000000,59291.19670000
1763128800000,3121.74000000,3220.62000000,3107.78000000,3199.50000000,88254.85310000
1763132400000,3199.49000000,3234.49000000,3160.63000000,3196.70000000,51211.86950000
1763136000000,3196.70000000,3256.71000000,3182.90000000,3231.32000000,31942.91960000
1763139600000,3231.32000000,3245.38000000,3161.35000000,3179.68000000,22193.35270000
1763143200000,3179.66000000,3208.51000000,3155.00000000,3168.81000000,19744.48000000
1763146800000,3168.80000000,3220.77000000,3160.03000000,3207.86000000,21247.80480000
1763150400000,3207.87000000,3213.22000000,3122.73000000,3137.75000000,24344.30710000
1763154000000,3137.74000000,3176.25000000,3125.07000000,3167.44000000,16297.13740000
1763157600000,3167.45000000,3186.87000000,3142.30000000,3158.86000000,13831.15800000
1763161200000,3158.86000000,3158.86000000,3090.00000000,3112.40000000,24916.78880000
1763164800000,3112.40000000,3150.94000000,3110.68000000,3141.26000000,20396.11980000
1763168400000,3141.26000000,3179.02000000,3124.61000000,3173.54000000,13285.19510000
1763172000000,3173.54000000,3193.74000000,3162.98000000,3193.31000000,14469.32800000
1763175600000,3193.31000000,3194.00000000,3167.54000000,3179.16000000,14137.74020000
1763179200000,3179.17000000,3191.65000000,3159.03000000,3171.99000000,9597.78530000
1763182800000,3172.00000000,3183.36000000,3161.35000000,3178.49000000,11799.21800000
1763186400000,3178.50000000,3187.93000000,3166.54000000,3175.53000000,6448.34990000
1763190000000,3175.53000000,3185.39000000,3169.02000000,3176.55000000,5628.72750000
1763193600000,3176.56000000,3177.98000000,3134.23000000,3143.50000000,13723.98840000
1763197200000,3143.49000000,3165.51000000,3138.88000000,3152.99000000,11574.27700000
1763200800000,3152.99000000,3171.52000000,3145.33000000,3169.00000000,7392.72130000
1763204400000,3169.00000000,3172.19000000,3146.66000000,3152.52000000,6509.50230000
1763208000000,3152.52000000,3168.00000000,3147.37000000,3162.27000000,6604.84580000
1763211600000,3162.27000000,3197.37000000,3159.10000000,3192.78000000,23673.82710000
1763215200000,3192.77000000,3193.10000000,3174.75000000,3177.96000000,9171.28540000
1763218800000,3177.96000000,3191.25000000,3173.72000000,3186.05000000,8489.67060000
1763222400000,3186.05000000,3187.86000000,3162.78000000,3186.34000000,14605.20510000
1763226000000,3186.35000000,3219.47000000,3182.62000000,3214.99000000,51457.42940000
1763229600000,3214.99000000,3230.00000000,3204.27000000,3208.10000000,48818.67600000
1763233200000,3208.09000000,3214.25000000,3192.76000000,3197.88000000,5768.39520000
1763236800000,3197.89000000,3200.68000000,3167.31000000,3174.91000000,8879.85170000
1763240400000,3174.90000000,3189.09000000,3152.75000000,3157.97000000,15497.85880000
1763244000000,3157.96000000,3172.35000000,3155.07000000,3171.52000000,5561.76830000
1763247600000,3171.52000000,3177.55000000,3167.43000000,3167.88000000,4971.71200000
1763251200000,3167.87000000,3174.76000000,3145.84000000,3152.59000000,9862.79570000
1763254800000,3152.59000000,3157.94000000,3131.78000000,3150.59000000,13039.45060000
1763258400000,3150.59000000,3204.80000000,3142.30000000,3203.13000000,17118.85540000
1763262000000,3203.13000000,3210.00000000,3193.20000000,3202.97000000,8513.49690000
1763265600000,3202.95000000,3207.29000000,3187.03000000,3194.35000000,7335.82970000
1763269200000,3194.35000000,3215.93000000,3193.86000000,3204.95000000,8823.06040000
1763272800000,3204.95000000,3216.45000000,3198.53000000,3201.21000000,7245.52930000
1763276400000,3201.26000000,3220.62000000,3199.19000000,3219.55000000,8166.19120000
1763280000000,3219.54000000,3228.00000000,3206.25000000,3219.41000000,8408.55690000
1763283600000,3219.42000000,3249.00000000,3208.97000000,3248.26000000,14781.58180000
1763287200000,3248.25000000,3248.25000000,3229.41000000,3235.99000000,10607.86070000
1763290800000,3235.99000000,3237.87000000,3160.36000000,3168.64000000,25206.63970000
1763294400000,3168.64000000,3182.60000000,3154.88000000,3168.99000000,40025.67560000
1763298000000,3168.99000000,3173.50000000,3139.04000000,3153.85000000,25233.13020000
1763301600000,3153.85000000,3179.00000000,3147.51000000,3172.05000000,11881.88770000
1763305200000,3172.06000000,3180.76000000,3099.23000000,3105.44000000,35588.95970000
1763308800000,3105.45000000,3126.02000000,3058.24000000,3061.60000000,59086.83460000
1763312400000,3061.59000000,3088.46000000,3026.00000000,3079.84000000,67557.54520000
1763316000000,3079.84000000,3128.00000000,3043.04000000,3060.44000000,45680.03750000
1763319600000,3060.45000000,3116.28000000,3057.61000000,3091.09000000,22150.28530000
1763323200000,3091.09000000,3117.21000000,3085.29000000,3089.32000000,9962.60360000
1763326800000,3089.32000000,3096.89000000,3058.40000000,3073.63000000,22416.06600000
1763330400000,3073.64000000,3102.65000000,3043.76000000,3091.86000000,32801.26110000
1763334000000,3091.86000000,3107.28000000,3004.00000000,3095.29000000,59139.44610000
1763337600000,3095.29000000,3140.95000000,3069.00000000,3136.32000000,31351.63590000
1763341200000,3136.33000000,3147.72000000,3113.85000000,3114.66000000,14869.11540000
1763344800000,3114.66000000,3160.35000000,3111.61000000,3149.40000000,18944.53960000
1763348400000,3149.40000000,3180.42000000,3148.06000000,3176.60000000,15218.26380000
1763352000000,3176.59000000,3193.67000000,3165.93000000,3185.43000000,13084.72900000
1763355600000,3185.43000000,3193.37000000,3176.94000000,3186.74000000,12631.79500000
1763359200000,3186.75000000,3197.55000000,3171.00000000,3194.00000000,17550.72710000
1763362800000,3194.01000000,3208.52000000,3189.04000000,3198.44000000,20316.57450000
1763366400000,3198.44000000,3205.00000000,3184.84000000,3190.25000000,15150.88230000
1763370000000,3190.24000000,3216.84000000,3179.88000000,3195.18000000,23412.30050000
1763373600000,3195.19000000,3208.00000000,3191.52000000,3196.72000000,10935.91110000
1763377200000,3196.73000000,3223.38000000,3193.54000000,3204.12000000,16233.10390000
1763380800000,3204.12000000,3204.38000000,3182.23000000,3183.70000000,13541.11830000
1763384400000,3183.70000000,3188.96000000,3095.09000000,3121.95000000,49748.09120000
1763388000000,3121.80000000,3210.88000000,3102.62000000,3152.26000000,70179.22870000
1763391600000,3152.26000000,3166.65000000,3105.44000000,3121.04000000,56362.83750000
1763395200000,3121.04000000,3142.56000000,3064.21000000,3134.30000000,51539.51420000
1763398800000,3134.33000000,3137.59000000,3054.07000000,3058.59000000,44190.18360000
1763402400000,3058.59000000,3081.04000000,3020.00000000,3024.98000000,51395.39740000
1763406000000,3024.97000000,3038.97000000,2972.88000000,2982.27000000,82767.33160000
1763409600000,2982.27000000,3022.08000000,2959.46000000,3004.66000000,61438.28230000
1763413200000,3004.64000000,3027.94000000,2984.81000000,3009.25000000,27245.82350000
1763416800000,3009.25000000,3032.53000000,3000.00000000,3023.54000000,22340.83230000
1763420400000,3023.55000000,3031.45000000,3006.11000000,3031.44000000,22052.21020000
1763424000000,3031.44000000,3040.94000000,2991.16000000,3032.85000000,37480.35990000
1763427600000,3032.86000000,3050.05000000,3014.04000000,3017.59000000,29711.73890000
1763431200000,3017.58000000,3045.04000000,2978.17000000,2985.50000000,48496.40610000
1763434800000,2985.50000000,3027.94000000,2946.56000000,3023.97000000,73438.86210000
1763438400000,3023.97000000,3025.18000000,2958.08000000,3005.88000000,52794.11390000
1763442000000,3005.88000000,3023.84000000,2984.09000000,3012.13000000,24884.43460000
1763445600000,3012.14000000,3015.48000000,2973.53000000,2989.76000000,33921.43040000
1763449200000,2989.76000000,3034.50000000,2977.33000000,3024.44000000,29299.45160000
1763452800000,3024.44000000,3068.00000000,3024.44000000,3060.19000000,38520.85070000
1763456400000,3060.19000000,3067.24000000,3028.39000000,3060.50000000,27889.29480000
1763460000000,3060.50000000,3072.21000000,3050.53000000,3066.15000000,25535.95370000
1763463600000,3066.15000000,3074.45000000,3052.44000000,3058.01000000,24609.93390000
1763467200000,3058.00000000,3066.09000000,3039.36000000,3049.76000000,21836.12100000
1763470800000,3049.76000000,3051.48000000,3022.09000000,3048.34000000,28240.36200000
1763474400000,3048.33000000,3092.64000000,3032.31000000,3058.33000000,49326.58710000
1763478000000,3058.32000000,3123.69000000,3034.00000000,3106.87000000,58777.68590000
1763481600000,3106.87000000,3168.91000000,3099.39000000,3152.18000000,58957.04300000
1763485200000,3152.18000000,3159.00000000,3120.08000000,3135.36000000,29895.05530000
1763488800000,3135.36000000,3169.95000000,3135.36000000,3160.46000000,19048.48780000
1763492400000,3160.46000000,3168.36000000,3135.59000000,3146.02000000,14185.36240000
1763496000000,3146.01000000,3150.43000000,3122.72000000,3123.20000000,9823.79830000
1763499600000,3123.19000000,3131.18000000,3097.21000000,3098.25000000,12713.97890000
1763503200000,3098.25000000,3129.77000000,3097.66000000,3125.55000000,10187.91090000
1763506800000,3125.55000000,3126.45000000,3107.56000000,3123.66000000,7064.88260000
1763510400000,3123.65000000,3124.17000000,3077.88000000,3100.64000000,19305.20530000
1763514000000,3100.64000000,3116.28000000,3085.26000000,3105.10000000,14767.52550000
1763517600000,3105.10000000,3125.54000000,3097.88000000,3113.93000000,10027.09910000
1763521200000,3113.94000000,3118.33000000,3069.59000000,3073.02000000,21154.44850000
1763524800000,3073.01000000,3076.83000000,3045.81000000,3048.57000000,19686.87340000
1763528400000,3048.57000000,3052.67000000,2992.23000000,3017.56000000,42317.36240000
1763532000000,3017.56000000,3045.03000000,3010.60000000,3041.15000000,21880.40650000
1763535600000,3041.15000000,3087.71000000,3039.25000000,3084.96000000,21975.96770000
1763539200000,3084.97000000,3100.31000000,3072.50000000,3080.21000000,26621.94310000
1763542800000,3080.20000000,3088.24000000,3053.55000000,3088.24000000,18459.52050000
1763546400000,3088.24000000,3112.55000000,3083.51000000,3092.00000000,15087.89880000
1763550000000,3091.99000000,3102.28000000,3077.54000000,3083.51000000,8677.10520000
1763553600000,3083.51000000,3108.76000000,3081.01000000,3100.82000000,14167.65130000
1763557200000,3100.82000000,3101.36000000,3057.76000000,3067.36000000,26991.79550000
1763560800000,3067.36000000,3070.26000000,3023.89000000,3060.51000000,35427.93950000
1763564400000,3060.52000000,3106.20000000,2967.00000000,2973.16000000,87986.51110000
1763568000000,2973.15000000,3000.00000000,2936.62000000,2950.19000000,65298.22870000
1763571600000,2950.19000000,2961.22000000,2900.00000000,2922.85000000,63210.68900000
1763575200000,2922.84000000,2929.68000000,2880.49000000,2899.75000000,52898.38050000
1763578800000,2899.74000000,2905.84000000,2873.64000000,2881.66000000,26501.34170000
1763582400000,2881.66000000,2957.32000000,2875.00000000,2945.29000000,37328.81870000
1763586000000,2945.30000000,3002.00000000,2939.13000000,2991.66000000,43619.63530000
1763589600000,2991.65000000,2992.42000000,2953.85000000,2984.54000000,16296.89450000
1763593200000,2984.54000000,3027.88000000,2984.54000000,3025.48000000,28237.47280000
1763596800000,3025.48000000,3049.14000000,3004.41000000,3019.27000000,24613.22780000
1763600400000,3019.26000000,3050.50000000,3018.80000000,3047.51000000,30520.54610000
1763604000000,3047.51000000,3058.00000000,3029.33000000,3044.26000000,21694.67610000
1763607600000,3044.26000000,3053.23000000,3037.27000000,3038.98000000,10739.73980000
1763611200000,3038.99000000,3055.00000000,3017.40000000,3054.01000000,20735.08770000
1763614800000,3054.02000000,3063.61000000,3032.98000000,3035.38000000,19885.72050000
1763618400000,3035.37000000,3042.50000000,3006.89000000,3020.81000000,17435.96440000
1763622000000,3020.81000000,3044.42000000,3015.50000000,3039.43000000,11714.01150000
1763625600000,3039.44000000,3044.75000000,3022.60000000,3030.85000000,16074.12790000
1763629200000,3030.85000000,3033.93000000,2995.52000000,3011.39000000,18774.34310000
1763632800000,3011.39000000,3020.86000000,2993.91000000,3015.30000000,15266.23780000
1763636400000,3015.30000000,3027.48000000,3002.00000000,3023.98000000,13098.33550000
1763640000000,3023.99000000,3033.00000000,3010.74000000,3028.86000000,10902.90500000
1763643600000,3028.87000000,3049.58000000,2996.28000000,2999.81000000,33973.04950000
1763647200000,2999.82000000,3022.70000000,2963.68000000,3000.70000000,61146.17320000
1763650800000,3000.70000000,3003.48000000,2952.39000000,2955.68000000,37670.66170000
1763654400000,2955.65000000,2961.28000000,2848.01000000,2862.68000000,139725.59320000
1763658000000,2862.65000000,2873.62000000,2807.35000000,2833.66000000,102898.85600000
1763661600000,2833.65000000,2860.64000000,2806.36000000,2813.66000000,121942.54280000
1763665200000,2813.66000000,2855.28000000,2790.01000000,2847.90000000,86887.19700000
1763668800000,2847.89000000,2856.54000000,2819.55000000,2835.29000000,33089.13080000
1763672400000,2835.30000000,2897.63000000,2834.63000000,2879.65000000,23241.56720000
1763676000000,2879.64000000,2905.93000000,2876.18000000,2886.17000000,15376.35610000
1763679600000,2886.16000000,2891.54000000,2826.49000000,2834.22000000,25118.32110000
1763683200000,2834.21000000,2870.00000000,2832.56000000,2861.08000000,15988.72990000
1763686800000,2861.11000000,2886.73000000,2851.69000000,2862.09000000,18548.18470000
1763690400000,2862.10000000,2862.18000000,2772.84000000,2782.67000000,52442.83330000
1763694000000,2782.66000000,2826.00000000,2781.85000000,2809.18000000,30253.14770000
1763697600000,2809.17000000,2821.92000000,2782.75000000,2818.89000000,27017.02540000
1763701200000,2818.88000000,2832.66000000,2800.00000000,2809.43000000,25623.20040000
1763704800000,2809.43000000,2814.81000000,2780.36000000,2790.20000000,43917.12310000
1763708400000,2790.20000000,2801.21000000,2669.00000000,2720.17000000,185535.44790000
1763712000000,2720.17000000,2754.48000000,2706.35000000,2737.89000000,54021.67840000
1763715600000,2737.90000000,2748.50000000,2680.00000000,2681.42000000,58043.66710000
1763719200000,2681.41000000,2717.14000000,2663.01000000,2696.80000000,74038.99470000
1763722800000,2696.80000000,2722.98000000,2674.49000000,2688.42000000,32721.20200000
1763726400000,2688.42000000,2743.17000000,2623.57000000,2727.59000000,111203.74200000
1763730000000,2727.59000000,2769.61000000,2711.06000000,2741.79000000,49613.51900000
1763733600000,2741.79000000,2781.83000000,2718.65000000,2770.35000000,69806.74660000
1763737200000,2770.36000000,2778.93000000,2687.55000000,2705.32000000,63737.28880000
1763740800000,2705.31000000,2764.00000000,2675.00000000,2762.80000000,60752.95270000
1763744400000,2762.81000000,2806.84000000,2754.89000000,2780.48000000,41775.18040000
1763748000000,2780.49000000,2794.49000000,2716.49000000,2779.15000000,58923.62020000
1763751600000,2779.15000000,2787.96000000,2740.22000000,2752.24000000,24520.22150000
1763755200000,2752.23000000,2756.21000000,2708.55000000,2737.86000000,29540.15730000
1763758800000,2737.83000000,2777.01000000,2731.49000000,2767.23000000,22201.31020000
1763762400000,2767.22000000,2774.09000000,2720.72000000,2721.88000000,12754.97200000
1763766000000,2721.89000000,2769.80000000,2713.15000000,2765.85000000,17494.46320000
1763769600000,2765.86000000,2780.59000000,2758.21000000,2766.35000000,11148.72470000
1763773200000,2766.36000000,2784.12000000,2761.49000000,2774.70000000,7853.77780000
1763776800000,2774.70000000,2777.49000000,2739.76000000,2752.84000000,11438.13030000
1763780400000,2752.84000000,2757.73000000,2742.25000000,2752.27000000,9365.21870000
1763784000000,2752.27000000,2754.36000000,2726.66000000,2747.27000000,18930.30360000
1763787600000,2747.26000000,2749.69000000,2727.50000000,2744.48000000,7393.78700000
1763791200000,2744.49000000,2768.53000000,2732.59000000,2766.26000000,8631.00000000
1763794800000,2766.26000000,2771.00000000,2754.65000000,2756.21000000,8092.78880000
1763798400000,2756.21000000,2756.36000000,2718.82000000,2729.89000000,15334.84520000
1763802000000,2729.89000000,2739.78000000,2721.27000000,2725.74000000,10001.45670000
1763805600000,2725.74000000,2731.50000000,2705.26000000,2712.89000000,12038.84220000
1763809200000,2712.89000000,2743.00000000,2704.33000000,2735.16000000,12816.50770000
1763812800000,2735.16000000,2736.05000000,2711.01000000,2721.08000000,11242.64220000
1763816400000,2721.08000000,2734.55000000,2712.00000000,2719.49000000,8485.68050000
1763820000000,2719.49000000,2754.45000000,2718.50000000,2745.81000000,16599.79660000
1763823600000,2745.82000000,2750.98000000,2725.99000000,2738.92000000,13564.87010000
1763827200000,2738.92000000,2759.02000000,2735.20000000,2755.48000000,22788.15020000
1763830800000,2755.49000000,2758.44000000,2744.97000000,2750.01000000,7169.17010000
1763834400000,2750.02000000,2754.89000000,2743.02000000,2752.50000000,7034.33560000
1763838000000,2752.50000000,2757.50000000,2744.85000000,2750.65000000,4478.22020000
1763841600000,2750.65000000,2756.87000000,2733.72000000,2741.26000000,6185.21920000
1763845200000,2741.26000000,2748.62000000,2737.02000000,2747.50000000,4594.90920000
1763848800000,2747.50000000,2799.01000000,2741.85000000,2789.27000000,18895.60380000
1763852400000,2789.26000000,2793.45000000,2767.62000000,2770.12000000,10607.32850000
1763856000000,2770.12000000,2789.41000000,2768.29000000,2772.99000000,10850.07220000
1763859600000,2773.00000000,2815.73000000,2771.93000000,2808.44000000,23470.13710000
1763863200000,2808.45000000,2834.33000000,2804.37000000,2821.12000000,23596.69850000
1763866800000,2821.12000000,2824.95000000,2809.73000000,2824.77000000,9965.16940000
1763870400000,2824.77000000,2852.17000000,2819.76000000,2827.76000000,26110.77420000
1763874000000,2827.77000000,2831.39000000,2813.10000000,2825.35000000,20793.01670000
1763877600000,2825.35000000,2832.47000000,2806.00000000,2810.33000000,17321.78210000
1763881200000,2810.34000000,2812.34000000,2777.20000000,2793.70000000,31803.58740000
1763884800000,2793.70000000,2815.73000000,2793.69000000,2811.53000000,9169.99350000
1763888400000,2811.53000000,2823.98000000,2806.09000000,2816.45000000,9497.83380000
1763892000000,2816.45000000,2816.87000000,2802.88000000,2808.73000000,7507.13940000
1763895600000,2808.72000000,2820.61000000,2803.72000000,2815.54000000,7022.62380000
1763899200000,2815.54000000,2850.00000000,2813.98000000,2835.42000000,37662.45630000
1763902800000,2835.43000000,2845.44000000,2822.51000000,2843.65000000,21292.46700000
1763906400000,2843.66000000,2858.16000000,2812.49000000,2814.88000000,25475.23810000
1763910000000,2814.88000000,2840.15000000,2810.12000000,2836.50000000,15726.69310000
1763913600000,2836.49000000,2846.80000000,2798.04000000,2800.05000000,17959.92310000
1763917200000,2800.06000000,2808.17000000,2786.63000000,2792.72000000,19619.60430000
1763920800000,2792.72000000,2816.92000000,2791.92000000,2808.87000000,9396.97820000
1763924400000,2808.88000000,2837.45000000,2807.24000000,2822.70000000,13046.19670000
1763928000000,2822.70000000,2835.44000000,2821.42000000,2828.55000000,8710.09790000
1763931600000,2828.55000000,2845.00000000,2817.28000000,2841.58000000,10891.00010000
1763935200000,2841.58000000,2844.72000000,2824.52000000,2838.70000000,10804.62590000
1763938800000,2838.70000000,2843.49000000,2794.74000000,2802.16000000,22114.46460000
1763942400000,2802.16000000,2803.50000000,2763.00000000,2788.34000000,29640.01690000
1763946000000,2788.35000000,2807.49000000,2778.36000000,2806.24000000,12867.44500000
1763949600000,2806.25000000,2867.46000000,2804.35000000,2840.24000000,44055.99810000
1763953200000,2840.23000000,2866.50000000,2834.91000000,2856.44000000,24391.75420000
1763956800000,2856.45000000,2870.29000000,2802.87000000,2824.81000000,33676.78100000
1763960400000,2824.81000000,2885.75000000,2822.72000000,2866.97000000,29869.74740000
1763964000000,2866.97000000,2868.78000000,2829.19000000,2839.43000000,22012.16130000
1763967600000,2839.43000000,2844.94000000,2823.88000000,2830.27000000,13089.25070000
1763971200000,2830.26000000,2843.09000000,2822.00000000,2838.99000000,23425.54740000
1763974800000,2838.98000000,2838.98000000,2788.00000000,2797.72000000,43885.28160000
1763978400000,2797.71000000,2807.14000000,2793.15000000,2799.05000000,10144.05030000
1763982000000,2799.04000000,2808.24000000,2789.70000000,2803.41000000,8108.12980000
1763985600000,2803.40000000,2812.02000000,2795.01000000,2803.86000000,15443.95120000
1763989200000,2803.86000000,2830.06000000,2802.33000000,2815.65000000,25268.92380000
1763992800000,2815.64000000,2848.63000000,2785.04000000,2832.00000000,55916.20540000
1763996400000,2832.00000000,2860.37000000,2812.61000000,2846.47000000,32257.17620000
1764000000000,2846.47000000,2874.99000000,2842.82000000,2858.77000000,38249.37600000
1764003600000,2858.77000000,2944.03000000,2856.57000000,2940.03000000,56202.34990000
1764007200000,2940.02000000,2963.61000000,2930.05000000,2957.53000000,103610.97190000
1764010800000,2957.52000000,2979.63000000,2954.04000000,2959.00000000,30096.41310000
1764014400000,2959.00000000,2987.00000000,2952.51000000,2972.70000000,23371.42820000
1764018000000,2972.68000000,2973.77000000,2947.77000000,2959.18000000,16726.65690000
1764021600000,2959.18000000,2980.04000000,2952.31000000,2960.57000000,9452.08670000
1764025200000,2960.56000000,2968.76000000,2952.09000000,2953.38000000,13518.05210000
1764028800000,2953.38000000,2953.38000000,2931.84000000,2943.03000000,17195.48080000
1764032400000,2943.02000000,2947.92000000,2918.20000000,2919.27000000,13413.43750000
1764036000000,2919.27000000,2934.48000000,2908.70000000,2930.71000000,14606.49700000
1764039600000,2930.71000000,2936.29000000,2904.39000000,2911.99000000,10592.26020000
1764043200000,2911.99000000,2943.03000000,2910.01000000,2937.56000000,11484.73070000
1764046800000,2937.57000000,2938.57000000,2918.47000000,2928.61000000,9547.98760000
1764050400000,2928.61000000,2928.61000000,2912.32000000,2922.30000000,10631.60380000
1764054000000,2922.30000000,2925.45000000,2901.75000000,2902.77000000,13183.90900000
1764057600000,2902.77000000,2909.18000000,2868.56000000,2871.70000000,23758.36950000
1764061200000,2871.70000000,2893.00000000,2865.09000000,2891.89000000,27364.66980000
1764064800000,2891.89000000,2899.99000000,2879.99000000,2898.17000000,14492.26700000
1764068400000,2898.17000000,2899.39000000,2888.31000000,2891.01000000,7210.01020000
1764072000000,2891.01000000,2933.23000000,2889.88000000,2927.14000000,21793.87270000
1764075600000,2927.13000000,2934.00000000,2898.84000000,2907.69000000,20817.92520000
1764079200000,2907.69000000,2922.35000000,2857.58000000,2881.32000000,34869.77720000
1764082800000,2881.30000000,2915.44000000,2857.32000000,2895.45000000,29153.99830000
1764086400000,2895.46000000,2938.00000000,2887.38000000,2929.33000000,16468.93020000
1764090000000,2929.33000000,2952.30000000,2920.37000000,2936.41000000,19389.43170000
1764093600000,2936.41000000,2958.53000000,2922.95000000,2924.21000000,15883.83100000
1764097200000,2924.20000000,2928.00000000,2872.09000000,2922.95000000,27979.64270000
1764100800000,2922.96000000,2943.14000000,2916.66000000,2929.10000000,15202.81690000
1764104400000,2929.11000000,2945.66000000,2923.23000000,2931.31000000,11550.85020000
1764108000000,2931.30000000,2978.23000000,2907.42000000,2970.42000000,25751.65390000
1764111600000,2970.42000000,2980.82000000,2953.67000000,2959.36000000,15342.49970000
